"Reference","Value","Footprint","Datasheet","ARROW_PART_NUMBER","ARROW_PRICE-STOCK","Availability","Check_prices","DESCRIPTION","Description","HEIGHT","Height","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Package","Price","SnapEDA_Link","Qty"
"C1, C9-C12","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","5"
"C2","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","1"
"C3, C5-C8, C13-C16, C19","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","10"
"C4, C20","4.7uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","2"
"C17, C18","16pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","2"
"D1, D2","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","2"
"IC1","ADP150AUJZ-2.0-R7","SOT95P280X100-5N","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf","","","","","","","","1","","","","","","","Analog Devices","ADP150AUJZ-2.0-R7","584-ADP150AUJZ2.0R7","https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADP150AUJZ-2.0-R7?qs=JeIcUl65ClCJPxSC7wTCkA%3D%3D","","","","1"
"IC2","AP2112K-3.3TRG1","SOT95P282X130-5N","","","","","","","","","1.3","","","","","","","Diodes Incorporated","AP2112K-3.3TRG1","621-AP2112K-3.3TRG1","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP2112K-3.3TRG1?qs=x6A8l6qLYDDPYHosCdzh%2FA%3D%3D","","","","1"
"J1","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~","","","","","","","","","","","","","","","","","","","","","","1"
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","1"
"R2, R4-R8","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","6"
"R3","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","1"
"R9, R10","70R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","2"
"R11","39R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","1"
"SW1","SW_Push","","~","","","","","","","","","","","","","","","","","","","","","","1"
"SW2-SW5","SW_DPDT_x2","","~","","","","","","","","","","","","","","","","","","","","","","4"
"U1","STM32F103RETx","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103re.pdf","","","","","","","","","","","","","","","","","","","","","","1"
"U2","PMW3360DM-T2QU","","","","","Not in stock","https://www.snapeda.com/parts/PMW3360DM-T2QU/PixArt/view-part/?ref=eda","Optical gaming navigation sensor","
","mm","","PixArt Imaging Inc.","PMW3360DM-T2QU","PixArt","","","PMW3360DM-T2QU","","","","","None","None","https://www.snapeda.com/parts/PMW3360DM-T2QU/PixArt/view-part/?ref=snap","1"
"Y1","LFXTAL029914Reel","LFXTAL029914Reel","https://datasheet.datasheetarchive.com/originals/dk/DKDS-40/46251.pdf","","","","","","","","4.3","","","","","","","IQD","LFXTAL029914Reel","449-LFXTAL029914REEL","https://www.mouser.co.uk/ProductDetail/IQD/LFXTAL029914Reel?qs=e4%2FAndAAwgJ9bR%252BzpdWpUQ%3D%3D","","","","1"
